Date,Open,High,Low,Close,Adj Close,Volume
14-10-2021,1754,1783.599976,1698.199951,1715.75,1682.855835,19655776
18-10-2021,1740,1799,1740,1792.150024,1757.791138,13438109
19-10-2021,1814,1834.5,1782.300049,1822.150024,1787.215942,10324260
20-10-2021,1829.400024,1848,1794.050049,1802.349976,1767.795532,5876115
21-10-2021,1814,1814,1746.849976,1753.650024,1720.029175,8779629
22-10-2021,1749.900024,1763.199951,1707,1719.800049,1686.828125,7369809
25-10-2021,1722.050049,1729.75,1687.199951,1707.550049,1674.81311,5905209
26-10-2021,1710.050049,1726.599976,1695.900024,1703.699951,1685.846069,5871709
27-10-2021,1709.099976,1734.150024,1701.150024,1728.949951,1710.831543,5090259
28-10-2021,1719.349976,1724.75,1692.050049,1703.900024,1686.044067,5329972
29-10-2021,1699,1712.599976,1661.050049,1667.75,1650.272949,5875091
01-11-2021,1677.5,1707.199951,1676,1700.050049,1682.234497,3636806
02-11-2021,1695,1706.449951,1686.349976,1697.900024,1680.106934,3471772
03-11-2021,1709,1717.449951,1699,1702.5,1684.658691,3530713
04-11-2021,1715,1717,1705,1708.699951,1690.793701,483407
08-11-2021,1730,1741,1703,1737.5,1719.291992,5245903
09-11-2021,1734.75,1750,1726,1742.5,1724.239502,4016134
10-11-2021,1726,1750.949951,1721.949951,1740.150024,1721.914185,4780368
11-11-2021,1732.949951,1739.75,1709,1733.300049,1715.135986,4731349
12-11-2021,1743,1782.849976,1738.050049,1780.199951,1761.544434,5069009
15-11-2021,1782.099976,1800,1775.5,1787.150024,1768.421631,4354074
16-11-2021,1790,1808.949951,1777,1792.300049,1773.5177,6034233
17-11-2021,1792.550049,1802,1780.699951,1787.449951,1768.718506,4732492
18-11-2021,1781.599976,1789.449951,1759,1779.400024,1760.75293,4326924
22-11-2021,1784,1785.400024,1751.150024,1759.400024,1740.962524,6621839
23-11-2021,1735.099976,1747.25,1710,1736.900024,1718.698242,8436160
24-11-2021,1740,1740.5,1688,1696,1678.226807,7333061
25-11-2021,1700,1726.199951,1696.949951,1722.400024,1704.35022,4476260
26-11-2021,1702.550049,1718.349976,1684,1691.650024,1673.922485,4494181
29-11-2021,1691,1712,1669.150024,1696.349976,1678.57312,3942776
30-11-2021,1704.550049,1729.900024,1700.050049,1712.650024,1694.702393,14808963
01-12-2021,1715,1741.900024,1713,1714.900024,1696.928833,5193264
02-12-2021,1715,1750.5,1711.349976,1748.25,1729.929321,5559574
03-12-2021,1771.099976,1786.650024,1732.550049,1735.550049,1717.362427,6754012
06-12-2021,1730,1733.949951,1691.5,1695.300049,1677.53418,3991449
07-12-2021,1701.099976,1724.900024,1694,1711.650024,1693.712891,4202122
08-12-2021,1733,1759.800049,1732.599976,1753.349976,1734.97583,3029169
09-12-2021,1759,1769.400024,1742,1763.449951,1744.969971,2082171
10-12-2021,1760,1763.75,1746,1759.25,1740.814087,1823469
13-12-2021,1767.050049,1771.349976,1738.800049,1744.650024,1726.367065,4040584
14-12-2021,1730.900024,1763,1710.349976,1752.150024,1733.788452,4768144
15-12-2021,1745,1747.949951,1721.199951,1734.199951,1716.026489,3053149
16-12-2021,1762.650024,1777.599976,1758,1771.599976,1753.034546,4481031
17-12-2021,1820,1842,1806.75,1820.849976,1801.768433,18887243
20-12-2021,1801.699951,1829.650024,1787.300049,1798.900024,1780.048584,5773891
21-12-2021,1801,1838,1801,1811.599976,1792.615356,5353584
22-12-2021,1825,1829.150024,1812.349976,1824.699951,1805.578125,4156428
23-12-2021,1831.25,1861.599976,1827,1857.599976,1838.133301,4112933
24-12-2021,1872.949951,1875.75,1854,1863.5,1843.971558,3780347
27-12-2021,1860,1874.5,1845.050049,1866.150024,1846.59375,2647733
28-12-2021,1880.699951,1895.900024,1878.400024,1888,1868.214844,3340933
29-12-2021,1883.5,1893.800049,1876.400024,1885.550049,1865.790527,3236635
30-12-2021,1884.5,1909.800049,1874.349976,1892.849976,1873.013916,4584738
31-12-2021,1890,1898.349976,1871.650024,1887.75,1867.967407,4619420
03-01-2022,1887.75,1914.050049,1887.75,1898.449951,1878.555298,3329616
04-01-2022,1898.449951,1906.650024,1878,1899.150024,1879.247925,3921999
05-01-2022,1900,1902.900024,1840,1844.650024,1825.319092,6995719
06-01-2022,1828,1828,1800,1817.800049,1798.750488,6449205
07-01-2022,1815.449951,1836,1806.800049,1814.300049,1795.287231,4834389
10-01-2022,1815,1869.900024,1813,1850.75,1831.355103,7857560
11-01-2022,1855,1870,1850.150024,1855.599976,1836.154297,5142287
12-01-2022,1868.900024,1889,1860,1877.449951,1857.775269,5362535
13-01-2022,1905,1912.5,1866.349976,1896.800049,1876.922607,14277630
14-01-2022,1882,1933,1881,1929.349976,1909.13147,7688506
17-01-2022,1938.550049,1953.900024,1930.5,1939.5,1919.175049,5262464
18-01-2022,1922.099976,1945,1911.449951,1920.75,1900.621582,3690315
19-01-2022,1916,1916,1862.849976,1867.050049,1847.484375,5747770
20-01-2022,1844,1848,1815.5,1823.699951,1804.588623,5533463
21-01-2022,1795,1808,1776,1785.699951,1766.986816,8252758
24-01-2022,1765,1768.650024,1728,1736.800049,1718.599365,7116712
25-01-2022,1726.599976,1740,1700.5,1722.150024,1704.102783,9137653
27-01-2022,1702,1709.699951,1665,1678.599976,1661.009155,11231734
28-01-2022,1681,1727.550049,1679.5,1686.199951,1668.529541,10998502
31-01-2022,1718,1749.5,1715.349976,1736.199951,1718.005493,8788872
01-02-2022,1766.099976,1780,1734.699951,1772.050049,1753.47998,5119935
02-02-2022,1789,1792.800049,1772,1787.099976,1768.372192,4253717
